,name,sa2_name,postcode,geometry
1,Lilydale-Warburton Rail Trail,Yarra Valley,3139,"POLYGON ((1034153.6182959272 -4293796.6311034495, 1034157.8032650289 -4293819.911977331, 1034154.2079254544 -4293820.642369267, 1034153.5195016658 -4293820.785073905, 1034152.8310000458 -4293820.927659233, 1034139.612315781 -4293823.121728923, 1034111.4811581096 -4293824.790274959, 1034084.1002282031 -4293822.546816355, 1034083.4023523229 -4293822.446421143, 1034031.0962982965 -4293817.100700863, 1034002.7181727401 -4293817.415778494, 1034002.1075542932 -4293817.47428441, 1033973.560612171 -4293822.568821131, 1033943.9859574126 -4293833.277585254, 1033943.6180207082 -4293833.4478350505, 1033943.4282724774 -4293833.5424528485, 1033919.8193393943 -4293842.715364577, 1033896.58349429 -4293851.657920715, 1033886.7172309874 -4293855.946763811, 1033876.6899014715 -4293859.8786159335, 1033866.5241846872 -4293863.4249920575, 1033858.7765058407 -4293865.847192796, 1033849.6240682338 -4293867.351218196, 1033839.2153407237 -4293868.6764621595, 1033828.7591855999 -4293869.614176108, 1033818.2682027677 -4293870.135159121, 1033807.7698968156 -4293870.271791333, 1033797.2768364821 -4293869.995205098, 1033786.7982549367 -4293869.316125122, 1033776.3541109511 -4293868.236188191, 1033765.9644204538 -4293866.757372611, 1033679.7337143086 -4293847.825377936, 1033659.0933487902 -4293848.533065642, 1033658.6016175804 -4293834.300136075, 1033603.3036864907 -4293835.811921474, 1033603.811876107 -4293850.439920287, 1033526.5813942815 -4293849.611154865, 1033515.6997916709 -4293843.760017713, 1033509.0554789198 -4293821.852057271, 1033533.1157667179 -4293821.045014274, 1033537.6725477912 -4293820.87167506, 1033570.7887417687 -4293819.682738283, 1033605.0983651443 -4293818.46515498, 1033638.9604313824 -4293817.521929264, 1033641.631264688 -4293817.448888353, 1033660.2106797966 -4293816.997942365, 1033683.3658726774 -4293822.138294039, 1033713.4349107052 -4293828.801826345, 1033720.1651314062 -4293801.594839974, 1033725.4182889679 -4293801.4208178865, 1033718.3765753462 -4293829.903128317, 1033768.70972835 -4293841.054631164, 1033776.4477065911 -4293842.618325104, 1033784.233384591 -4293843.863210077, 1033792.0674411567 -4293844.779149395, 1033799.9382085393 -4293845.385343127, 1033807.8174359577 -4293845.659317606, 1033815.7141923165 -4293845.611670047, 1033823.588371598 -4293845.239221357, 1033831.4501412358 -4293844.542695304, 1033839.2693076348 -4293843.519500689, 1033846.1107730282 -4293842.7150708325, 1033852.913793675 -4293841.654862186, 1033859.6672500075 -4293840.348374114, 1033867.037379645 -4293837.9744759, 1033874.292183948 -4293835.297951575, 1033879.4820855061 -4293833.160485994, 1033881.0639585993 -4293833.074510567, 1033881.031177928 -4293832.516505818, 1033892.2283599939 -4293828.009111429, 1033901.9716745022 -4293824.093272827, 1033926.7492552244 -4293814.122620847, 1033950.1035364353 -4293804.625022458, 1033958.3663059818 -4293801.964537236, 1033966.7317157069 -4293799.635882884, 1033970.243834192 -4293798.817639694, 1033975.1880960976 -4293797.658259296, 1033983.7153306655 -4293796.029790662, 1033992.3035165562 -4293794.749777812, 1034000.9425172746 -4293793.817163497, 1034001.0044982315 -4293795.326380528, 1034040.2682902259 -4293795.533646027, 1034040.1753636193 -4293794.031854539, 1034043.7400118958 -4293794.479748073, 1034089.1710900622 -4293799.728842752, 1034096.1982630645 -4293800.403740079, 1034097.228468369 -4293800.512489206, 1034105.3168984478 -4293800.9355358835, 1034113.4145657629 -4293801.016236162, 1034120.2462150333 -4293800.796159428, 1034121.5115013581 -4293800.753660224, 1034129.5867248282 -4293800.156163318, 1034137.6320445583 -4293799.202805484, 1034145.6255473014 -4293797.911942829, 1034153.5582747147 -4293796.2727638455, 1034153.6182959272 -4293796.6311034495))"
2,Nangana Bushland Reserve,Yarra Valley,3139,"POLYGON ((1022203.9587451345 -4305504.81823137, 1022103.447413249 -4305428.545279937, 1022096.9359559574 -4305412.6749845985, 1022212.8639152877 -4305348.601611561, 1022237.2642888026 -4305354.56027005, 1022203.9587451345 -4305504.81823137))"
3,Nillumbik G139 Bushland Reserve,Wattle Glen - Diamond Creek,3089,"POLYGON ((989912.7590921243 -4282407.53594269, 989863.0553995562 -4282293.8778413925, 989831.8664044733 -4282257.938467039, 989774.8266380705 -4282212.577006934, 989954.9506593377 -4282258.916381921, 989912.7590921243 -4282407.53594269))"
4,Lilydale-Warburton Rail Trail,Lilydale - Coldstream,3140,"POLYGON ((1005216.8887765605 -4291459.211849329, 1005220.8519153493 -4291472.738415613, 1005229.2807663986 -4291501.5610980205, 1005238.7628102965 -4291533.947511691, 1005239.1837788397 -4291535.377040963, 1005244.110491808 -4291552.106228854, 1005249.0898322618 -4291569.04180053, 1005264.2067590285 -4291572.453885272, 1005269.8106429123 -4291636.60176427, 1005298.1040140489 -4291710.764667504, 1005351.0676462502 -4291803.401376773, 1005490.6161779256 -4292002.768160502, 1005565.9335906007 -4292078.954892343, 1005503.9821122416 -4292065.763594274, 1005475.9913443824 -4292025.774147791, 1005465.214945687 -4292010.3840868, 1005432.5026976248 -4291963.625583527, 1005391.7164550992 -4291905.345494667, 1005374.2407578084 -4291884.69028581, 1005374.1026182577 -4291884.536897544, 1005336.9146822458 -4291840.852061162, 1005316.9686683823 -4291798.543093717, 1005296.3199674645 -4291769.093142593, 1005284.2589662268 -4291751.875641582, 1005279.8039765003 -4291745.523462668, 1005282.4643332306 -4291734.065756125, 1005263.7760456487 -4291729.818754466, 1005253.8833556736 -4291696.1145492345, 1005243.6970190023 -4291661.37554319, 1005239.1394323948 -4291645.859440713, 1005234.1931310708 -4291629.007397701, 1005224.2940462494 -4291595.262306625, 1005214.4559426691 -4291561.744677168, 1005204.5394664165 -4291527.96796405, 1005194.6956792356 -4291494.399489892, 1005191.40666701 -4291483.22267979, 1005184.7518492899 -4291460.590140028, 1005188.7687249549 -4291461.524289116, 1005181.7539287197 -4291436.993078301, 1005176.7558536268 -4291399.46471339, 1005187.0939071962 -4291398.394145661, 1005199.9560304384 -4291389.528269592, 1005211.5345936965 -4291437.176716293, 1005216.8887765605 -4291459.211849329))"
5,Plenty Gorge Parklands,Plenty - Yarrambat,3088,"POLYGON ((983018.7060827352 -4280186.3048916375, 982890.7440178657 -4280158.198815275, 982724.2638265928 -4280119.848816759, 982913.8242494082 -4279985.823798492, 982980.4265979739 -4279938.733590126, 983033.7882481682 -4279804.3379354095, 982794.2802379262 -4279749.022972216, 982763.3354427393 -4279741.905232028, 982681.633630694 -4279723.11389188, 982667.3014580401 -4279788.542889328, 982509.5929995625 -4279752.163990578, 982449.9873790019 -4279794.071675569, 982301.5740252966 -4279759.972171418, 982248.3502665245 -4280005.439962308, 982110.8997452486 -4279977.91341757, 982106.3617757407 -4279960.77923966, 982104.1188740766 -4279947.272831738, 982099.8352036334 -4279932.920571396, 982088.4089190629 -4279915.607491787, 982081.646783756 -4279902.366750285, 982071.8807369459 -4279896.179581838, 982054.1848661874 -4279886.962095537, 982037.8005015177 -4279880.855041113, 982018.1793716964 -4279878.453943857, 982010.016384378 -4279875.070252657, 981977.1908203551 -4279851.539414242, 981954.1021057917 -4279834.525698334, 981927.2514259479 -4279824.166027838, 981913.5200260386 -4279817.961060839, 981908.4769034823 -4279812.191909265, 981905.2709258067 -4279803.590877545, 981900.520087164 -4279791.526291793, 981896.2645442307 -4279782.832438572, 981895.0124696065 -4279770.0792314075, 981894.284401319 -4279763.360891686, 981923.1544692083 -4279715.011903952, 981935.4598245769 -4279701.461688571, 981938.1736619154 -4279682.738018994, 981937.0118942502 -4279648.034899626, 981936.6054020182 -4279634.691219581, 981933.7486013508 -4279631.11152475, 981926.4313884614 -4279624.143183371, 981910.0472818576 -4279612.047818871, 981891.2143525883 -4279597.739738994, 981880.7478266058 -4279593.487028568, 981853.4297344334 -4279585.415243723, 981832.496794902 -4279576.910033035, 981812.4674349984 -4279570.148166535, 981775.2360443012 -4279563.528706897, 981751.066018077 -4279561.7239501495, 981732.3190702144 -4279558.402760397, 981725.4388687478 -4279552.471190354, 981721.9115396907 -4279547.501537844, 981722.3798886625 -4279530.242975615, 981726.961573094 -4279490.392173261, 981727.9550137301 -4279470.1857369905, 981725.069501542 -4279460.947897369, 981721.6585529333 -4279457.652048622, 981717.7808991937 -4279456.643736298, 981714.2239921299 -4279454.998479411, 981714.2243320585 -4279452.004284583, 981720.4351166883 -4279447.563001318, 981729.1825780218 -4279441.349998316, 981744.1402365497 -4279436.684241038, 981777.9319212639 -4279440.337899474, 981803.1224137112 -4279445.559816861, 981827.8755514835 -4279449.745043419, 981842.2489989909 -4279454.675852685, 981853.6196679407 -4279457.677619009, 981860.6468239354 -4279452.975956506, 981868.666022852 -4279443.039004026, 981888.2020098706 -4279431.459171621, 981912.2578098737 -4279416.619371545, 981950.3981099337 -4279386.058102947, 981992.5330855808 -4279355.184898052, 982013.0610535304 -4279341.364131577, 982024.7540743798 -4279331.752276823, 982032.919064766 -4279323.159201717, 982046.5353600616 -4279321.702074881, 982053.1824082852 -4279327.280412032, 982060.2957985582 -4279333.565425235, 982070.6744259022 -4279341.802662802, 982080.5574738586 -4279349.6635326035, 982087.8736023114 -4279365.614477011, 982097.9881326318 -4279385.805396495, 982109.4731539484 -4279405.452268612, 982120.3756190449 -4279419.724373297, 982131.0165674307 -4279427.9850153485, 982148.597282463 -4279432.53453047, 982161.9214353783 -4279434.37869822, 982192.3324225111 -4279428.41908692, 982206.4451142276 -4279421.350267986, 982209.4205136576 -4279411.632742326, 982217.8798481909 -4279384.767575509, 982220.5353322704 -4279369.6986184465, 982226.8931629657 -4279357.618794214, 982236.1380523089 -4279342.800182706, 982248.2396798746 -4279331.5613195235, 982259.4077014825 -4279324.897473017, 982269.3504258842 -4279323.11559643, 982286.4958139984 -4279314.651833037, 982305.8860590418 -4279307.717447216, 982324.227226643 -4279297.696052331, 982340.7904379731 -4279283.857733396, 982350.3836239104 -4279280.048855116, 982363.5916201834 -4279280.219475838, 982373.5333879065 -4279284.426155659, 982383.1831558263 -4279291.933768604, 982406.6220750264 -4279310.975179932, 982414.0269822566 -4279316.953456142, 982431.3165561247 -4279318.816176662, 982440.122098292 -4279317.931894893, 982451.7561498903 -4279314.969118992, 982463.2159090883 -4279307.998634452, 982473.7136445963 -4279299.944842644, 982478.3805755079 -4279289.046375277, 982480.1896943722 -4279280.556465343, 982478.7336170253 -4279270.114112536, 982474.7420991454 -4279252.460883834, 982473.9597583856 -4279246.965368072, 982512.0289670521 -4279255.581073594, 982578.2085414755 -4279270.55842831, 982601.7507292627 -4279275.886014224, 982716.3176934149 -4279301.812297948, 982813.1389429594 -4279323.723671844, 982862.3691711844 -4279359.8026382765, 983095.9832092043 -4279577.180214789, 983301.9011856403 -4279768.785698492, 983306.0734455064 -4279772.23801439, 983313.3881088546 -4279779.069467079, 983377.7626225966 -4279791.803248404, 983392.6824220378 -4279802.4691528035, 983420.4737370433 -4279850.477802128, 983451.5804543791 -4279904.213456979, 983465.3947156979 -4279928.078100815, 983480.2524014887 -4279953.857697557, 983483.1296404653 -4279958.85007052, 983488.1739380638 -4279967.602433102, 983584.5409057002 -4280134.80787864, 983610.0973782884 -4280179.15013354, 983611.6299801661 -4280181.809257052, 983701.547414219 -4280337.82109709, 983698.9657338519 -4280337.227848473, 983578.4547836025 -4280309.432673021, 983545.9033882649 -4280303.03566735, 983520.9502619049 -4280297.26657486, 983518.4441687429 -4280296.6872351775, 983495.540412352 -4280291.391888399, 983479.3217514375 -4280287.881398722, 983159.596692827 -4280218.676458849, 983154.4927987154 -4280217.57165613, 983027.2869595311 -4280190.036878071, 983027.7870392951 -4280188.299445063, 983018.7060827352 -4280186.3048916375))"
